id,sku,title,description,barcode,category,images,retail_value,selling_value,cost_price,quantity,unit,tags,metadata_supplier,metadata_sku_family,skip_vectorize,vectorize_status,vector_id,created_at,updated_at
50,P-000050,Infinix INBOOK,High-quality infinix inbook from Infinix. Perfect for everyday use.,8587289712385,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Infinix%20INBOOK/1.png""]",1099.99,761.48,578.84,96,pcs,"[""laptops"", ""infinix"", ""inbook""]",Infinix,INFINIX-50,true,done,pos-brain:vec_on6le98o1wlh,2026-06-02T23:52:00.000Z,2026-06-01T10:09:00.000Z
51,P-000051,HP Pavilion 15-DK1056WM,High-quality hp pavilion 15-dk1056wm from HP. Perfect for everyday use.,1433644394080,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/HP%20Pavilion%2015-DK1056WM/1.png""]",1099.99,868.79,551.01,89,pcs,"[""laptops"", ""hp"", ""pavilion""]",HP,HP-51,true,,pos-brain:vec_8nsggu4gn3c6,2026-06-03T21:43:00.000Z,2026-06-05T21:06:00.000Z
52,P-000052,Essence Mascara Lash Princess,High-quality essence mascara lash princess from Essence. Perfect for everyday use.,4157264430919,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Essence%20Mascara%20Lash%20Princess/1.png""]",9.99,8.97,7.67,5,pcs,"[""beauty"", ""essence"", ""mascara""]",Essence,ESSENCE-52,true,,pos-brain:vec_ukiomtfuco3t,2026-06-02T08:45:00.000Z,2026-06-02T21:25:00.000Z
53,P-000053,Eyeshadow Palette with Mirror,High-quality eyeshadow palette with mirror from Glamour Beauty. Perfect for everyday use.,4611800720843,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Eyeshadow%20Palette%20with%20Mirror/1.png""]",19.99,13.79,8.83,44,pcs,"[""beauty"", ""glamour-beauty"", ""eyeshadow"", ""palette""]",Glamour Beauty,GLAMOUR-BEAUTY-53,true,failed,pos-brain:vec_81g6z35x9ick,2026-06-01T08:47:00.000Z,2026-06-05T11:13:00.000Z
54,P-000054,Powder Canister,High-quality powder canister from Velvet Touch. Perfect for everyday use.,1791790773245,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Powder%20Canister/1.png""]",14.99,13.48,10.91,59,pcs,"[""beauty"", ""velvet-touch"", ""powder"", ""canister""]",Velvet Touch,VELVET-TOUCH-54,true,queued,,2026-06-05T01:32:00.000Z,2026-06-04T02:43:00.000Z
55,P-000055,Red Lipstick,High-quality red lipstick from Chic Cosmetics. Perfect for everyday use.,1673885243523,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Lipstick/1.png""]",12.99,11.1,9.06,68,pcs,"[""beauty"", ""chic-cosmetics"", ""lipstick""]",Chic Cosmetics,CHIC-COSMETICS-55,true,failed,pos-brain:vec_olwmw50ywfsw,2026-06-01T09:49:00.000Z,2026-06-04T22:16:00.000Z
56,P-000056,Red Nail Polish,High-quality red nail polish from Nail Couture. Perfect for everyday use.,6784657379691,Beauty & Personal Care,"[""https://cdn.dummyjson.com/products/images/beauty/Red%20Nail%20Polish/1.png""]",8.99,7.62,5.32,71,pcs,"[""beauty"", ""nail-couture"", ""nail""]",Nail Couture,NAIL-COUTURE-56,true,queued,pos-brain:vec_u0eoeu8sii6q,2026-06-01T06:37:00.000Z,2026-06-02T16:55:00.000Z
57,P-000057,Calvin Klein CK One,High-quality calvin klein ck one from Calvin Klein. Perfect for everyday use.,6359745196721,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Calvin%20Klein%20CK%20One/1.png""]",49.99,41.02,31.84,17,pcs,"[""fragrances"", ""calvin-klein"", ""calvin"", ""klein""]",Calvin Klein,CALVIN-KLEIN-57,true,done,pos-brain:vec_fyxt8h874kt9,2026-06-02T16:15:00.000Z,2026-06-01T00:29:00.000Z
58,P-000058,Chanel Coco Noir Eau De Parfum,High-quality chanel coco noir eau de parfum from Chanel. Perfect for everyday use.,1588909813930,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Chanel%20Coco%20Noir%20Eau%20De/1.png""]",129.99,119.15,87.24,41,pcs,"[""fragrances"", ""chanel"", ""coco""]",Chanel,CHANEL-58,true,failed,pos-brain:vec_ypj7jhz8n3zs,2026-06-05T04:54:00.000Z,2026-06-02T04:08:00.000Z
59,P-000059,Dior J'adore,High-quality dior j'adore from Dior. Perfect for everyday use.,9395461774101,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dior%20J'adore/1.png""]",89.99,58.74,37.92,91,pcs,"[""fragrances"", ""dior"", ""j'adore""]",Dior,DIOR-59,true,queued,pos-brain:vec_70h3keq7re3u,2026-06-01T23:54:00.000Z,2026-06-04T11:17:00.000Z
60,P-000060,Dolce Shine Eau de Parfum,High-quality dolce shine eau de parfum from Dolce & Gabbana. Perfect for everyday use.,5193595105770,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Dolce%20Shine%20Eau%20de/1.png""]",69.99,57.34,48.86,3,pcs,"[""fragrances"", ""dolce-&-gabbana"", ""dolce"", ""shine""]",Dolce & Gabbana,DOLCE-&-GABBANA-60,true,done,pos-brain:vec_2kpx8tb9mpjh,2026-06-05T21:17:00.000Z,2026-06-01T03:44:00.000Z
61,P-000061,Gucci Bloom Eau de Parfum,High-quality gucci bloom eau de parfum from Gucci. Perfect for everyday use.,8400386397329,Fragrances,"[""https://cdn.dummyjson.com/products/images/fragrances/Gucci%20Bloom%20Eau%20de/1.png""]",79.99,69.13,54.67,93,pcs,"[""fragrances"", ""gucci"", ""bloom""]",Gucci,GUCCI-61,true,done,pos-brain:vec_paspfdfzd5xt,2026-06-04T02:00:00.000Z,2026-06-05T23:54:00.000Z
62,P-000062,Annibale Colombo Bed,High-quality annibale colombo bed from Annibale Colombo. Perfect for everyday use.,7728319693044,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Bed/1.png""]",1899.99,1383.6,946.71,47,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-62,true,,pos-brain:vec_cg5u9m56ib1a,2026-06-05T07:39:00.000Z,2026-06-05T05:23:00.000Z
63,P-000063,Annibale Colombo Sofa,High-quality annibale colombo sofa from Annibale Colombo. Perfect for everyday use.,1015733085016,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Annibale%20Colombo%20Sofa/1.png""]",2499.99,1769.67,1484.01,16,pcs,"[""furniture"", ""annibale-colombo"", ""annibale"", ""colombo""]",Annibale Colombo,ANNIBALE-COLOMBO-63,true,,,2026-06-05T21:13:00.000Z,2026-06-05T05:39:00.000Z
64,P-000064,Bedside Table African Cherry,High-quality bedside table african cherry from Furniture Co.. Perfect for everyday use.,2793193921617,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Bedside%20Table%20African%20Cherry/1.png""]",299.99,281.04,200.45,10,pcs,"[""furniture"", ""furniture-co."", ""bedside"", ""table""]",Furniture Co.,FURNITURE-CO.-64,true,,,2026-06-04T08:47:00.000Z,2026-06-03T16:09:00.000Z
65,P-000065,Knoll Saarinen Executive Conference Chair,High-quality knoll saarinen executive conference chair from Knoll. Perfect for everyday use.,2456149996471,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Knoll%20Saarinen%20Executive%20Conference%20Chair/1.png""]",499.99,397.6,277.04,74,pcs,"[""furniture"", ""knoll"", ""saarinen""]",Knoll,KNOLL-65,true,,pos-brain:vec_eywq25lcxkyy,2026-06-02T18:03:00.000Z,2026-06-04T10:50:00.000Z
66,P-000066,Wooden Bathroom Sink With Mirror,High-quality wooden bathroom sink with mirror from Bath Trends. Perfect for everyday use.,8785053274484,Furniture,"[""https://cdn.dummyjson.com/products/images/furniture/Wooden%20Bathroom%20Sink%20With%20Mirror/1.png""]",799.99,712.09,583.06,18,pcs,"[""furniture"", ""bath-trends"", ""wooden"", ""bathroom""]",Bath Trends,BATH-TRENDS-66,true,done,pos-brain:vec_uy8bsu222r2f,2026-06-01T00:51:00.000Z,2026-06-03T08:09:00.000Z
67,P-000067,Apple,High-quality apple from Fresh Harvest. Perfect for everyday use.,7278784476332,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Apple/1.png""]",1.99,1.39,0.82,10,pcs,"[""groceries"", ""fresh-harvest"", ""apple""]",Fresh Harvest,FRESH-HARVEST-67,true,queued,,2026-06-03T11:20:00.000Z,2026-06-04T12:37:00.000Z
68,P-000068,Beef Steak,High-quality beef steak from Prime Beef. Perfect for everyday use.,6973605250875,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Beef%20Steak/1.png""]",12.99,11.92,10.19,96,pcs,"[""groceries"", ""prime-beef"", ""beef"", ""steak""]",Prime Beef,PRIME-BEEF-68,true,queued,pos-brain:vec_wm2jjfxp2tuu,2026-06-03T18:47:00.000Z,2026-06-01T07:51:00.000Z
69,P-000069,Cat Food,High-quality cat food from Whiskers. Perfect for everyday use.,6918926645011,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cat%20Food/1.png""]",8.99,6.23,3.75,13,pcs,"[""groceries"", ""whiskers"", ""food""]",Whiskers,WHISKERS-69,true,failed,pos-brain:vec_ck4y9rut9dy3,2026-06-02T05:34:00.000Z,2026-06-02T22:46:00.000Z
70,P-000070,Chicken Meat,High-quality chicken meat from Farm Fresh. Perfect for everyday use.,6974866974443,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Chicken%20Meat/1.png""]",9.99,6.61,5.35,69,pcs,"[""groceries"", ""farm-fresh"", ""chicken"", ""meat""]",Farm Fresh,FARM-FRESH-70,true,queued,pos-brain:vec_0617iao619k9,2026-06-02T18:16:00.000Z,2026-06-04T14:13:00.000Z
71,P-000071,Cooking Oil,High-quality cooking oil from Golden Sun. Perfect for everyday use.,8163456166042,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cooking%20Oil/1.png""]",4.99,3.92,3.04,22,pcs,"[""groceries"", ""golden-sun"", ""cooking""]",Golden Sun,GOLDEN-SUN-71,true,failed,,2026-06-02T10:18:00.000Z,2026-06-04T02:11:00.000Z
72,P-000072,Cucumber,High-quality cucumber from Green Valley. Perfect for everyday use.,8478747851711,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Cucumber/1.png""]",1.49,1.27,0.82,22,pcs,"[""groceries"", ""green-valley"", ""cucumber""]",Green Valley,GREEN-VALLEY-72,true,failed,,2026-06-03T00:49:00.000Z,2026-06-02T21:19:00.000Z
73,P-000073,Dog Food,High-quality dog food from Pedigree. Perfect for everyday use.,8946036864572,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Dog%20Food/1.png""]",10.99,9.04,7.28,40,pcs,"[""groceries"", ""pedigree"", ""food""]",Pedigree,PEDIGREE-73,true,done,,2026-06-04T15:23:00.000Z,2026-06-04T18:25:00.000Z
74,P-000074,Eggs,High-quality eggs from Farm Fresh. Perfect for everyday use.,8302684197371,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Eggs/1.png""]",2.99,2.33,1.89,10,pcs,"[""groceries"", ""farm-fresh"", ""eggs""]",Farm Fresh,FARM-FRESH-74,true,,pos-brain:vec_oqmzdg1xkkfk,2026-06-03T05:48:00.000Z,2026-06-02T19:59:00.000Z
75,P-000075,Fish Steak,High-quality fish steak from Ocean Catch. Perfect for everyday use.,3249336976934,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Fish%20Steak/1.png""]",14.99,10.69,7.94,99,pcs,"[""groceries"", ""ocean-catch"", ""fish"", ""steak""]",Ocean Catch,OCEAN-CATCH-75,true,,pos-brain:vec_7uymam1ghxtx,2026-06-01T01:05:00.000Z,2026-06-04T09:54:00.000Z
76,P-000076,Green Bell Pepper,High-quality green bell pepper from Green Valley. Perfect for everyday use.,9578624106762,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Green%20Bell%20Pepper/1.png""]",1.29,0.9,0.66,10,pcs,"[""groceries"", ""green-valley"", ""green"", ""bell""]",Green Valley,GREEN-VALLEY-76,true,done,,2026-06-01T12:19:00.000Z,2026-06-04T09:01:00.000Z
77,P-000077,Green Chili Pepper,High-quality green chili pepper from Spice World. Perfect for everyday use.,5622219648677,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Green%20Chili%20Pepper/1.png""]",0.99,0.94,0.65,8,pcs,"[""groceries"", ""spice-world"", ""green"", ""chili""]",Spice World,SPICE-WORLD-77,true,,pos-brain:vec_p09n8c0iqbnh,2026-06-04T08:44:00.000Z,2026-06-04T11:25:00.000Z
78,P-000078,Honey Jar,High-quality honey jar from Nature's Best. Perfect for everyday use.,4100327818866,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Honey%20Jar/1.png""]",6.99,5.78,4.11,25,pcs,"[""groceries"", ""nature's-best"", ""honey""]",Nature's Best,NATURE'S-BEST-78,true,queued,pos-brain:vec_u0fmu0ruvvy1,2026-06-01T12:59:00.000Z,2026-06-02T03:27:00.000Z
79,P-000079,Ice Cream,High-quality ice cream from Dairy Delight. Perfect for everyday use.,7274804773685,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Ice%20Cream/1.png""]",5.49,3.86,3.0,50,pcs,"[""groceries"", ""dairy-delight"", ""cream""]",Dairy Delight,DAIRY-DELIGHT-79,true,,,2026-06-02T19:17:00.000Z,2026-06-03T06:15:00.000Z
80,P-000080,Juice,High-quality juice from Tropicana. Perfect for everyday use.,9585209808920,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Juice/1.png""]",3.99,3.05,2.65,99,pcs,"[""groceries"", ""tropicana"", ""juice""]",Tropicana,TROPICANA-80,true,done,pos-brain:vec_z1if176fbw6h,2026-06-01T18:52:00.000Z,2026-06-02T01:33:00.000Z
81,P-000081,Kiwi,High-quality kiwi from Fresh Harvest. Perfect for everyday use.,3880038782255,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Kiwi/1.png""]",2.49,1.94,1.49,1,pcs,"[""groceries"", ""fresh-harvest"", ""kiwi""]",Fresh Harvest,FRESH-HARVEST-81,true,queued,pos-brain:vec_uxb6wjn9nz7a,2026-06-01T03:12:00.000Z,2026-06-03T13:02:00.000Z
82,P-000082,Lemon,High-quality lemon from Citrus Grove. Perfect for everyday use.,3573627846329,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Lemon/1.png""]",0.79,0.69,0.52,17,pcs,"[""groceries"", ""citrus-grove"", ""lemon""]",Citrus Grove,CITRUS-GROVE-82,true,failed,pos-brain:vec_aug2znzltnyj,2026-06-04T06:53:00.000Z,2026-06-05T04:02:00.000Z
83,P-000083,Milk,High-quality milk from Dairy Pure. Perfect for everyday use.,8748310264216,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Milk/1.png""]",3.49,2.44,1.55,15,pcs,"[""groceries"", ""dairy-pure"", ""milk""]",Dairy Pure,DAIRY-PURE-83,true,queued,pos-brain:vec_ikfjn0a65pko,2026-06-01T19:52:00.000Z,2026-06-03T08:04:00.000Z
84,P-000084,Mulberry,High-quality mulberry from Berry Farms. Perfect for everyday use.,4619173508048,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Mulberry/1.png""]",4.99,4.53,4.01,69,pcs,"[""groceries"", ""berry-farms"", ""mulberry""]",Berry Farms,BERRY-FARMS-84,true,failed,pos-brain:vec_g3f0577nwbym,2026-06-02T23:36:00.000Z,2026-06-02T10:48:00.000Z
85,P-000085,Orange,High-quality orange from Citrus Grove. Perfect for everyday use.,8469635249537,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Orange/1.png""]",1.99,1.75,1.39,136,pcs,"[""groceries"", ""citrus-grove"", ""orange""]",Citrus Grove,CITRUS-GROVE-85,true,queued,,2026-06-05T10:38:00.000Z,2026-06-04T00:33:00.000Z
86,P-000086,Protein Powder,High-quality protein powder from MuscleTech. Perfect for everyday use.,9027704751707,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Protein%20Powder/1.png""]",29.99,23.38,15.87,67,pcs,"[""groceries"", ""muscletech"", ""protein"", ""powder""]",MuscleTech,MUSCLETECH-86,true,done,pos-brain:vec_dlktym7q1a7e,2026-06-02T07:45:00.000Z,2026-06-01T11:34:00.000Z
87,P-000087,Red Onions,High-quality red onions from Farm Fresh. Perfect for everyday use.,5693583496473,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Red%20Onions/1.png""]",1.99,1.79,1.35,189,pcs,"[""groceries"", ""farm-fresh"", ""onions""]",Farm Fresh,FARM-FRESH-87,true,,pos-brain:vec_gyckr75j9ath,2026-06-05T01:41:00.000Z,2026-06-03T23:55:00.000Z
88,P-000088,Rice,High-quality rice from Golden Grain. Perfect for everyday use.,0056673599853,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Rice/1.png""]",5.99,5.6,4.25,49,pcs,"[""groceries"", ""golden-grain"", ""rice""]",Golden Grain,GOLDEN-GRAIN-88,true,,pos-brain:vec_wc9os1hptq5c,2026-06-03T03:21:00.000Z,2026-06-01T16:28:00.000Z
89,P-000089,Soft Drinks,High-quality soft drinks from Coca-Cola. Perfect for everyday use.,0862785292151,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Soft%20Drinks/1.png""]",1.99,1.53,0.95,78,pcs,"[""groceries"", ""coca-cola"", ""soft"", ""drinks""]",Coca-Cola,COCA-COLA-89,true,queued,pos-brain:vec_t9tq8wppwvjc,2026-06-01T12:07:00.000Z,2026-06-04T19:41:00.000Z
90,P-000090,Strawberry,High-quality strawberry from Berry Farms. Perfect for everyday use.,8973300362314,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Strawberry/1.png""]",3.99,3.71,3.2,58,pcs,"[""groceries"", ""berry-farms"", ""strawberry""]",Berry Farms,BERRY-FARMS-90,true,queued,,2026-06-04T12:20:00.000Z,2026-06-01T01:21:00.000Z
91,P-000091,Tissue Paper Box,High-quality tissue paper box from Kleenex. Perfect for everyday use.,5354382199173,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Tissue%20Paper%20Box/1.png""]",2.49,2.17,1.68,158,pcs,"[""groceries"", ""kleenex"", ""tissue"", ""paper""]",Kleenex,KLEENEX-91,true,failed,pos-brain:vec_jl8smq0i8ekw,2026-06-01T01:22:00.000Z,2026-06-04T18:21:00.000Z
92,P-000092,Water,High-quality water from Aquafina. Perfect for everyday use.,9742871930271,Groceries,"[""https://cdn.dummyjson.com/products/images/groceries/Water/1.png""]",0.99,0.91,0.73,81,pcs,"[""groceries"", ""aquafina"", ""water""]",Aquafina,AQUAFINA-92,true,failed,pos-brain:vec_26o2e2wqkvhh,2026-06-02T04:19:00.000Z,2026-06-03T10:12:00.000Z
93,P-000093,iPhone 9,High-quality iphone 9 from Apple. Perfect for everyday use.,2773144848784,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/iPhone%209/1.png""]",549.99,402.0,306.04,94,pcs,"[""smartphones"", ""apple"", ""iphone""]",Apple,APPLE-93,true,queued,pos-brain:vec_kkbld9j6jzkp,2026-06-04T16:26:00.000Z,2026-06-05T16:40:00.000Z
94,P-000094,iPhone X,High-quality iphone x from Apple. Perfect for everyday use.,5627266347500,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/iPhone%20X/1.png""]",899.99,800.61,611.32,34,pcs,"[""smartphones"", ""apple"", ""iphone""]",Apple,APPLE-94,true,done,pos-brain:vec_svohk4l3o0hz,2026-06-03T12:15:00.000Z,2026-06-03T04:35:00.000Z
95,P-000095,Samsung Universe 9,High-quality samsung universe 9 from Samsung. Perfect for everyday use.,5677790055355,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/Samsung%20Universe%209/1.png""]",1249.99,1083.47,896.48,36,pcs,"[""smartphones"", ""samsung"", ""universe""]",Samsung,SAMSUNG-95,true,queued,pos-brain:vec_nedxrp5zvzss,2026-06-05T14:55:00.000Z,2026-06-03T00:06:00.000Z
96,P-000096,OPPO F19,High-quality oppo f19 from OPPO. Perfect for everyday use.,5324109179175,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/OPPO%20F19/1.png""]",280.99,232.45,201.92,123,pcs,"[""smartphones"", ""oppo""]",OPPO,OPPO-96,true,done,pos-brain:vec_f2tg0hsapmod,2026-06-04T01:38:00.000Z,2026-06-01T18:22:00.000Z
97,P-000097,Huawei P30,High-quality huawei p30 from Huawei. Perfect for everyday use.,1957865366480,Electronics,"[""https://cdn.dummyjson.com/products/images/smartphones/Huawei%20P30/1.png""]",499.99,401.96,288.59,32,pcs,"[""smartphones"", ""huawei""]",Huawei,HUAWEI-97,true,done,pos-brain:vec_j6bmvois441z,2026-06-03T23:17:00.000Z,2026-06-01T17:29:00.000Z
98,P-000098,MacBook Pro,High-quality macbook pro from Apple. Perfect for everyday use.,2133939765643,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/MacBook%20Pro/1.png""]",1749.99,1459.76,1101.85,83,pcs,"[""laptops"", ""apple"", ""macbook""]",Apple,APPLE-98,true,failed,pos-brain:vec_shtaz96cb6yk,2026-06-04T07:11:00.000Z,2026-06-01T23:23:00.000Z
99,P-000099,Samsung Galaxy Book,High-quality samsung galaxy book from Samsung. Perfect for everyday use.,3693199323653,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Samsung%20Galaxy%20Book/1.png""]",1499.99,1138.38,712.39,50,pcs,"[""laptops"", ""samsung"", ""galaxy""]",Samsung,SAMSUNG-99,true,failed,pos-brain:vec_imacd6fg7wgv,2026-06-01T04:28:00.000Z,2026-06-04T08:31:00.000Z
100,P-000100,Microsoft Surface Laptop 4,High-quality microsoft surface laptop 4 from Microsoft. Perfect for everyday use.,2612740900624,Electronics,"[""https://cdn.dummyjson.com/products/images/laptops/Microsoft%20Surface%20Laptop%204/1.png""]",1499.99,1099.13,918.24,68,pcs,"[""laptops"", ""microsoft"", ""surface""]",Microsoft,MICROSOFT-100,true,queued,pos-brain:vec_o5ia8gtpmx4l,2026-06-04T05:06:00.000Z,2026-06-05T01:21:00.000Z
